TID;CIVILSTAND;OMRÅDE;INDHOLD
2020K4;Ugift;Brønderslev;16204
2020K4;Ugift;Frederikshavn;24560
2020K4;Ugift;Hjørring;28482
2020K4;Ugift;Jammerbugt;16352
2020K4;Ugift;Læsø;589
2020K4;Ugift;Mariagerfjord;17978
2020K4;Ugift;Morsø;8721
2020K4;Ugift;Rebild;13736
2020K4;Ugift;Thisted;18597
2020K4;Ugift;Vesthimmerlands;15965
2020K4;Ugift;Aalborg;120226
